소매처코드,소매처명
6001059,三菱食品株式会社ＣＶＳ本部関西
6001059,三菱食品株式会社九州支社営業ＡＢＣ
6001059,三菱食品株式会社ＣＶＳ本部
6001059,山崎製パン株式会社（ＤＹ本部）
6001069,生活協同組合コープえひめ
6001069,三菱食品中四国支社四国支店愛媛ユニット
6001070,生活協同組合とくしま生協
6001077,全国農業協同組合連合会高知県本部
6001078,大阪市公設市場
6001078,大阪市公設市場株式会社
6001078,加藤産業株式会社北近畿支社北大阪支店
6001086,日東燃料工業株式会社
6001086,日東燃料工業
6001087,加藤産業株式会社中四国支社四国支店
6001087,国分西日本株式会社近畿支社
6001087,日東物産
6001101,有限会社いけびんストーア
6001109,有限会社グルメ
6001120,有限会社スーパーほりぐち
6001129,有限会社ナニワヤ
6001129,加藤産業株式会社南関東支社南東京支店
6001130,有限会社ハッピー川西
6001134,賛栄商事
6001134,賛栄商事株式会社
6001135,有限会社フジマート
6001143,有限会社ヤマトストアー
6001143,三菱食品株式会社中部支社営業部
6001144,有限会社ユーアイマート
6001144,加藤産業株式会社中四国支社四国支店
6001151,有限会社岡田商店＜鳥取＞
6001151,有限会社岡田商店
6001151,国分西日本株式会社山陰支店
6001167,有限会社山田商店＜京都＞
6001167,有限会社山田商店（京都）
6001176,有限会社大松支店
6001178,有限会社大正フードセンター
6001191,有限会社油甚
6001191,油甚飲料販売株式会社
6001191,加藤産業株式会社南近畿支社阪和支店
6001191,油甚
6001191,油甚酒類販売株式会社
6001191,油甚商店株式会社
6001191,油甚マーケティング株式会社
6001191,油甚食品販売株式会社
6003653,ニュー・クイック
6003667,サンライズ坂本
6003669,加藤産業株式会社西近畿支社神姫支店
6003669,１００円ショップグリーン
6003670,加藤産業株式会社北関東支社新潟支店
6003670,アークランドサカモト
6003670,国分関信越株式会社信越支社新潟支店
6003670,アークランドサカモト株式会社
6003671,国分関信越株式会社信越支社新潟支店
6003671,加藤産業株式会社北関東支社新潟支店
6003671,アキラ産業
6003671,アキラ産業株式会社
6003672,イオンビッグ株式会社
6003672,加藤産業株式会社南近畿支社阪和支店
6003672,加藤産業株式会社東関東支社千葉支店
6003672,加藤産業株式会社南関東支社湘南支店
6003672,加藤産業株式会社中部支社名古屋支店
6003672,加藤産業株式会社東北支社仙台支店
6003672,イオンビッグ
6003672,加藤産業株式会社中部支社静岡営業所
6003674,イオン九州
6003674,イオン九州株式会社
6003674,加藤産業株式会社九州支社福岡支店
6003675,加藤産業株式会社北関東支社新潟支店
6003675,加藤産業株式会社中四国支社岡山支店
6003675,加藤産業株式会社東関東支社千葉支店
6003675,加藤産業株式会社西近畿支社神姫支店
6003675,加藤産業株式会社東北支社仙台支店
6003675,加藤産業株式会社南近畿支社阪和支店
6003675,加藤産業株式会社東北支社秋田支店
6003675,加藤産業株式会社中四国支社四国支店
6003675,イオンリテール
